year,crop,mean_offset,count,sum_offset
2008,Almonds,32313.90105951878,7074910,228617941745
2008,Carrots,42207.236714946484,164527,6944230035
2008,Cherries,31158.64128292348,246063,7666988750
2008,Citrus,38952.518211426424,77067,3001953721
2008,Corn,30829.671710508195,1851631,57085175859
2008,Cotton,36968.00181548464,1957604,72368708226
2008,Grapes,33806.91882208478,5537750,187214264707
2008,Lettuce,39221.127056181576,124685,4890286227
2008,Onions,37234.28804602291,290464,10815220243
2008,Oranges,38552.180441033364,1361575,52491685084
2008,Pistachios,36684.046225992475,1926427,70669137119
2008,Rice,22857.637851868778,4109451,93932342728
2008,Strawberries,37124.5970715749,125938,4675397506
2008,Tomatoes,31971.667251003626,1612654,51559237079
2013,Almonds,32709.29939216371,8622881,282048396252
2013,Carrots,44703.12261527566,134135,5996253352
2013,Cherries,31271.238458561398,217044,6787234680
2013,Citrus,49160.34467769604,412716,20289260814
2013,Corn,29791.47880773399,2089064,62236305884
2013,Cotton,37401.462947127904,2136609,79912302346
2013,Grapes,33314.98959916491,6429003,214182168078
2013,Lettuce,45251.747878513146,110300,4991267791
2013,Onions,38282.97640799918,225373,8627949242
2013,Oranges,36623.48253647401,1277348,46780932171
2013,Pistachios,37124.750373982126,1489376,55292712213
2013,Rice,22980.837597026308,4327821,99456951550
2013,Strawberries,38811.16075333851,124831,4844836008
2013,Tomatoes,31909.426748988502,2282262,72825672111
2018,Almonds,32532.125263544745,8780767,285657011954
2018,Carrots,46287.10526250305,401862,18601028695
2018,Cherries,32259.3264486334,312674,10086652638
2018,Citrus,40117.84660635303,1169553,46919947852
2018,Corn,31260.655134379696,2097936,65582853790
2018,Cotton,36257.795825304864,2126287,77094479912
2018,Grapes,33725.888146099656,5683682,191687223390
2018,Lettuce,47749.94555327267,183978,8784939483
2018,Onions,41605.29029419836,353469,14706180355
2018,Oranges,36761.605841701145,891213,32762421027
2018,Pistachios,36797.838135556194,2677753,98535521461
2018,Rice,23015.113304668786,3926802,90375792955
2018,Strawberries,38646.66401426454,232745,8994817816
2018,Tomatoes,31729.169155031355,1847465,58618529493
2023,Almonds,32164.844879937365,13311302,428155963980
2023,Carrots,47922.54331542627,183168,8777876414
2023,Cherries,32243.446918465525,523619,16883281432
2023,Citrus,39183.874195497185,2044275,80102614421
2023,Corn,33104.86231012435,1459047,48301550039
2023,Cotton,37032.08546784838,909301,33673312348
2023,Grapes,33525.52973950862,6019585,201809775937
2023,Lettuce,50692.81801505132,111751,5664973106
2023,Onions,42323.706301926555,238197,10081379870
2023,Oranges,38021.45161034518,88273,3356267598
2023,Pistachios,36707.57441545008,5073476,186234997815
2023,Rice,23093.704579869318,4173023,96370560367
2023,Strawberries,34344.10976991615,83839,2879375819
2023,Tomatoes,31135.266302302338,2221220,69158276216
